iter	MultiClass	Accuracy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9
104	1.106583253	0.6899484984	0.656054028	0.6905005107	0.68128534	0.7631967764	0.6700773646	0.703374778	0.7017108168	0.6879951249	0.683547967	0.6513776079
105	1.101986557	0.6926393149	0.6584309321	0.6943216593	0.685421286	0.7647849462	0.6706527155	0.7082478457	0.7052182294	0.6916400183	0.6846977148	0.6529505582
106	1.099254664	0.6940281234	0.6600321027	0.696110073	0.6878468368	0.7675952093	0.6710772688	0.7091306725	0.7054935977	0.6920267803	0.6856482151	0.6556386194
107	1.097054269	0.6965164053	0.662822361	0.6998982706	0.6893203883	0.7679268129	0.6732450662	0.7122124863	0.7083448086	0.6947656726	0.6867312979	0.660938743
108	1.091511358	0.6994097564	0.6670930604	0.7003047748	0.689913865	0.7696447793	0.6755911422	0.7174777245	0.7100054975	0.6980702021	0.6904451211	0.666878576
109	1.090668646	0.6990336207	0.667092856	0.7009298394	0.6889074229	0.7687542088	0.67550663	0.7169294037	0.7106961417	0.6960486322	0.6908352668	0.6660302307
110	1.088366562	0.7007696314	0.6693329067	0.7036412677	0.6907931226	0.7704962244	0.6764337591	0.7198571821	0.7124640066	0.6981419433	0.6929659173	0.6650770943
111	1.083684582	0.7027949771	0.6701804824	0.706298417	0.6923826765	0.7737068966	0.6798240101	0.7207801126	0.7135815991	0.7001526718	0.6954756381	0.6668771708
112	1.080890113	0.7028817777	0.671348763	0.7057239057	0.6948775056	0.7720667384	0.6798945121	0.7202528167	0.7135802469	0.700381971	0.6956647818	0.6663507109
113	1.079895043	0.7038365835	0.6716703928	0.7082352941	0.6940308891	0.7733082201	0.680647997	0.7207380887	0.7151481888	0.7030321499	0.6964596634	0.6666666667
114	1.078970644	0.7043863202	0.6727272727	0.7069516916	0.6957973838	0.7732222073	0.6815614409	0.7224596719	0.714893617	0.7023156612	0.6971146875	0.6681429927
115	1.077139786	0.7051964585	0.6729449322	0.7111858705	0.6967509025	0.7740462117	0.6797287114	0.7223600772	0.7168153741	0.7024553912	0.6985645933	0.6690955172
116	1.071416121	0.7083502112	0.6792091837	0.7136623028	0.6999582696	0.7760193133	0.6845215642	0.7236624379	0.7173227266	0.7056494594	0.7005961902	0.6752258678
117	1.069239026	0.709073549	0.6771929825	0.713759625	0.6984435798	0.777494293	0.6851315624	0.7248377744	0.7196824528	0.7072092669	0.7028837751	0.6761633428
118	1.068036008	0.7092182165	0.676967187	0.7137110292	0.6985539488	0.7770324658	0.6861387385	0.7263929213	0.7189129838	0.706455542	0.7023255814	0.6777356104
119	1.062127051	0.7135003761	0.6822742475	0.7200936925	0.7024173381	0.7791369808	0.6907670991	0.7294866473	0.724856125	0.7106985238	0.7067887774	0.6810194713
120	1.058438438	0.7163937272	0.684722001	0.7254248584	0.7054424595	0.7823513586	0.6916572006	0.7335736069	0.7258020291	0.7143074813	0.7098272609	0.6840019026
121	1.054902672	0.7179272033	0.6849577285	0.7260913029	0.7079988929	0.7828779109	0.6926472443	0.7349030471	0.7295183203	0.716203845	0.7124002901	0.6846190401
122	1.051853572	0.7196632139	0.6846043624	0.7298735862	0.709068185	0.7844932023	0.694370986	0.7387087836	0.7318075922	0.7163996949	0.715260636	0.6847532921
123	1.049756651	0.7210520225	0.6847306344	0.732062966	0.7116240267	0.7853967399	0.6957728707	0.7395516192	0.7318681319	0.7195605737	0.7154471545	0.6875296349
124	1.04547129	0.7234824374	0.6912559618	0.7345924453	0.7129976418	0.7875927175	0.6965752559	0.7425961805	0.7333516786	0.7201099404	0.7182608696	0.6913580247
125	1.042595187	0.7259417858	0.6949904883	0.7367025684	0.7166921899	0.7888918846	0.699355491	0.7456359102	0.7347611203	0.7236580517	0.7184466019	0.6943873518
126	1.040176117	0.7268965916	0.6964115592	0.737452377	0.7205697528	0.7880910683	0.7019449356	0.7474635163	0.7348620074	0.7240537241	0.7181634421	0.6937292687
